scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Encephalartos brevifoliolatus,무척추/식물/기타,CYCADOPSIDA,EW,5,70.0,True
Encephalartos heenanii,무척추/식물/기타,CYCADOPSIDA,EW,5,70.0,True
Mitu mitu,조류,AVES,EW,5,12.5,True
Todiramphus cinnamominus,조류,AVES,EW,5,3.51,True
Ursus thibetanus ussuricus,포유류,MAMMALIA,VU,2,10.0,True
Lutra lutra,포유류,MAMMALIA,NT,1,3.5,False
Nipponia nippon,조류,AVES,EN,3,10.1,True
Ciconia boyciana,조류,AVES,EN,3,16.1,True
Anguilla japonica,어류,ACTINOPTERYGII,EN,3,8.0,True
Panthera tigris altaica,포유류,MAMMALIA,EN,3,8.5,False
Canis lupus coreanus,포유류,MAMMALIA,LC,0,4.5,False
Callicebus caquetensis,무척추/식물/기타,,CR,4,8.0,True
Callicebus oenanthe,무척추/식물/기타,,CR,4,8.0,True
Lagothrix lugens,무척추/식물/기타,,VU,2,14.5,True
Oreonax flavicauda,무척추/식물/기타,,CR,4,16.0,True
Piliocolobus bouvieri,포유류,MAMMALIA,EN,3,9.5,False
Zyzomys palatalis,포유류,MAMMALIA,CR,4,2.0,True
Callicebus modestus,무척추/식물/기타,,EN,3,9.0,True
Lepilemur wrightae,포유류,MAMMALIA,EN,3,4.48,True
Piliocolobus temminckii,무척추/식물/기타,,EN,3,10.0,True
Plagiodontia aedium,포유류,MAMMALIA,LC,0,10.0,True
Rattus vandeuseni,포유류,MAMMALIA,NT,1,1.5,False
Allochrocebus solatus,포유류,MAMMALIA,NT,1,10.0,True
Arvicola sapidus,포유류,MAMMALIA,NT,1,1.8,True
Bison bonasus,포유류,MAMMALIA,NT,1,12.0,True
Cacajao calvus,포유류,MAMMALIA,LC,0,10.0,True
Callicebus medemi,무척추/식물/기타,,VU,2,8.3,True
Callicebus ornatus,무척추/식물/기타,,VU,2,8.0,True
Capra aegagrus,포유류,MAMMALIA,NT,1,7.0,True
Eropeplus canus,포유류,MAMMALIA,LC,0,1.7,True
Haeromys minahassae,포유류,MAMMALIA,NT,1,1.71,True
Hapalomys delacouri,포유류,MAMMALIA,NT,1,1.7,True
Harpyionycteris celebensis,포유류,MAMMALIA,NT,1,5.0,True
Hyosciurus ileile,포유류,MAMMALIA,LC,0,3.8,True
Isoodon auratus,포유류,MAMMALIA,LC,0,1.0,True
Lagorchestes hirsutus,포유류,MAMMALIA,NT,1,3.5,True
Leopardus guigna,포유류,MAMMALIA,LC,0,6.0,True
Margaretamys beccarii,포유류,MAMMALIA,LC,0,1.71,True
Mico leucippe,포유류,MAMMALIA,LC,0,6.0,True
Microcebus lehilahytsara,포유류,MAMMALIA,NT,1,5.6,True
Niviventer cremoriventer,포유류,MAMMALIA,LC,0,1.7,True
Notomys fuscus,포유류,MAMMALIA,NT,1,1.5,True
Nyctimene keasti,포유류,MAMMALIA,NT,1,4.3,True
