scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Xenicus longipes,AVES,EX,2.66,100.0,2.66,0.424881636631067,조류,5,True
Dromaius baudinianus,AVES,EX,8.65,100.0,8.65,0.9370161074648142,조류,5,True
Anas marecula,AVES,EX,5.02,100.0,5.02,0.7007037171450193,조류,5,True
Melamprosops phaeosoma,AVES,EX,5,100.0,5.0,0.6989700043360189,조류,5,True
Podiceps andinus,AVES,EX,5.22,100.0,5.22,0.7176705030022621,조류,5,True
Mascarenotus murivorus,AVES,EX,3.98,100.0,3.98,0.5998830720736879,조류,5,True
Alectroenas nitidissimus,AVES,EX,6.6,100.0,6.6,0.8195439355418687,조류,5,True
Porphyrio mantelli,AVES,EX,3.41,100.0,3.41,0.5327543789924978,조류,5,True
Nestor productus,AVES,EX,10.61,100.0,10.61,1.0257153839013406,조류,5,True
Alloperla roberti,INSECTA,EX,1,100.0,1.0,0.0,무척추/식물/기타,5,True
Podilymbus gigas,AVES,EX,4.23,100.0,4.23,0.6263403673750424,조류,5,True
Furcraea macdougallii,LILIOPSIDA,EW,40-90,100.0,65.0,1.8129133566428555,무척추/식물/기타,5,True
Allotoca goslinei,ACTINOPTERYGII,EW,2,100.0,2.0,0.3010299956639812,어류,5,True
Skiffia francesae,ACTINOPTERYGII,EW,1,100.0,1.0,0.0,어류,5,True
Cryptoblepharus egeriae,REPTILIA,EW,3-4,100.0,3.5,0.5440680443502757,파충류,5,True
Corvus hawaiiensis,AVES,EW,5.97,100.0,5.97,0.7759743311293691,조류,5,True
Zenaida graysoni,AVES,EW,4.77,100.0,4.77,0.6785183790401139,조류,5,True
Cyanopsitta spixii,AVES,EW,9.6,100.0,9.6,0.9822712330395684,조류,5,True
Encephalartos brevifoliolatus,CYCADOPSIDA,EW,70,100.0,70.0,1.845098040014257,무척추/식물/기타,5,True
Encephalartos heenanii,CYCADOPSIDA,EW,70,100.0,70.0,1.845098040014257,무척추/식물/기타,5,True
Mitu mitu,AVES,EW,12.5,100.0,12.5,1.0969100130080565,조류,5,True
Todiramphus cinnamominus,AVES,EW,3.51,100.0,3.51,0.5453071164658241,조류,5,True
Ursus thibetanus ussuricus,MAMMALIA,VU,10,73.1,10.0,1.0,포유류,2,False
Lutra lutra,MAMMALIA,NT,3-4,0.0,3.5,0.5440680443502757,포유류,1,False
Nipponia nippon,AVES,EN,10.1,0.4,10.1,1.0043213737826426,조류,3,False
Ciconia boyciana,AVES,EN,16.1,54.6,16.1,1.2068258760318498,조류,3,False
Panthera tigris altaica,MAMMALIA,EN,7-10,66.5,8.5,0.9294189257142927,포유류,3,False
