scientific_name,iucn_class,taxon,iucn_category,iucn_rli,consensus_score,lw5,intervention_tier,diff,is_extinct,pop_source,iucn_trend,ews,pva,iucn_layer,primary_driver,confidence
Batagur trivittata,REPTILIA,파충류,CR,4,93.4,4.67,T4,0.6699999999999999,False,iucn_population_size,Decreasing,88.07970779778823,96.00000000000001,95,PVA 시뮬레이션,0.6
Batagur kachuga,REPTILIA,파충류,CR,4,67.2,3.3600000000000003,T3,-0.6399999999999997,False,iucn_population_size,Decreasing,88.07970779778823,46.19333333333333,80,EWS 신호,0.6
Hadramphus tuberculatus,INSECTA,무척추/식물/기타,CR,4,70.0,3.5,T3,-0.5,False,iucn_population_size,Unknown,66.07563687658173,37.67666666666667,95,IUCN/유전 임계값,0.6
Gorilla beringei,MAMMALIA,포유류,CR,4,50.4,2.52,T2,-1.48,False,iucn_population_size,Decreasing,88.07970779778823,42.53666666666667,55,EWS 신호,0.6
Litoria lorica,AMPHIBIA,양서류,CR,4,30.2,1.51,T1,-2.49,False,iucn_population_size,Stable,50.0,1.28,80,IUCN/유전 임계값,0.6
Dipodomys gravipes,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,84.85,95,IUCN/유전 임계값,0.6
Cyclura pinguis,REPTILIA,파충류,CR,4,60.0,3.0,T3,-1.0,False,iucn_population_size,Increasing,11.920292202211755,0.0,80,IUCN/유전 임계값,0.6
Actinella obserata,GASTROPODA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,84.97666666666667,95,IUCN/유전 임계값,0.6
Eleutherodactylus jasperi,AMPHIBIA,양서류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,87.05,95,IUCN/유전 임계값,0.6
Gopherus flavomarginatus,REPTILIA,파충류,CR,4,50.6,2.5300000000000002,T2,-1.4699999999999998,False,iucn_population_size,Decreasing,88.07970779778823,43.07666666666666,55,EWS 신호,0.6
Anas laysanensis,AVES,조류,CR,4,20.0,1.0,T1,-3.0,False,iucn_population_size,Increasing,11.920292202211755,0.0,80,IUCN/유전 임계값,0.6
Turbinicarpus horripilus,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,50.7,2.535,T2,-0.46499999999999986,False,iucn_population_size,Decreasing,88.07970779778823,43.156666666666666,55,EWS 신호,0.6
Opuntia pachyrrhiza,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,40.2,2.0100000000000002,T2,-0.9899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,40.78333333333333,10,EWS 신호,0.6
Xenicus gilviventris,AVES,조류,EN,3,44.9,2.245,T2,-0.7549999999999999,False,iucn_population_size,Decreasing,88.07970779778823,42.00333333333333,30,EWS 신호,0.6
Mammillaria microhelia,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,67.3,3.3649999999999998,T3,0.36499999999999977,False,iucn_population_size,Decreasing,88.07970779778823,46.336666666666666,80,EWS 신호,0.6
Spongiforma squarepantsii,AGARICOMYCETES,무척추/식물/기타,EN,3,67.4,3.37,T3,0.3700000000000001,False,iucn_population_size,Decreasing,88.07970779778823,46.55666666666667,80,EWS 신호,0.6
Amentotaxus formosana,PINOPSIDA,무척추/식물/기타,EN,3,67.5,3.375,T3,0.375,False,iucn_population_size,Decreasing,88.07970779778823,46.873333333333335,80,EWS 신호,0.6
Cynometra beddomei,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,76.2,3.81,T3,0.81,False,iucn_population_size,Decreasing,88.07970779778823,57.8,95,IUCN/유전 임계값,0.6
Aloe helenae,LILIOPSIDA,무척추/식물/기타,EN,3,68.3,3.415,T3,0.41500000000000004,False,iucn_population_size,Decreasing,88.07970779778823,48.57,80,EWS 신호,0.6
Aloe suzannae,LILIOPSIDA,무척추/식물/기타,EN,3,67.3,3.3649999999999998,T3,0.36499999999999977,False,iucn_population_size,Decreasing,88.07970779778823,46.46333333333333,80,EWS 신호,0.6
Xanthocyparis vietnamensis,PINOPSIDA,무척추/식물/기타,EN,3,51.7,2.585,T2,-0.41500000000000004,False,iucn_population_size,Decreasing,88.07970779778823,45.82666666666667,55,EWS 신호,0.6
Melocactus matanzanus,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,70.0,3.5,T3,0.5,False,iucn_population_size,Unknown,66.07563687658173,25.270000000000003,95,IUCN/유전 임계값,0.6
Melocactus lanssensianus,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,50.4,2.52,T2,-0.48,False,iucn_population_size,Decreasing,88.07970779778823,42.603333333333325,55,EWS 신호,0.6
Scilla morrisii,LILIOPSIDA,무척추/식물/기타,EN,3,17.4,0.8699999999999999,T0,-2.13,False,iucn_population_size,Stable,50.0,0.5366666666666666,55,IUCN/유전 임계값,0.6
Micranthocereus polyanthus,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,50.7,2.535,T2,-0.46499999999999986,False,iucn_population_size,Decreasing,88.07970779778823,43.31666666666666,55,EWS 신호,0.6
Nepenthes adnata,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,70.0,3.5,T3,0.5,False,iucn_population_size,Stable,50.0,9.493333333333332,95,IUCN/유전 임계값,0.6
Synapsis ilicifolia,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,94.8,4.74,T4,0.7400000000000002,False,iucn_population_size,Decreasing,88.07970779778823,99.2,95,PVA 시뮬레이션,0.6
