scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Taxus wallichiana,PINOPSIDA,식물,EN,3
Mammillaria mathildae,MAGNOLIOPSIDA,식물,EN,3
Sequoiadendron giganteum,PINOPSIDA,식물,EN,3
Syringa josikaea,MAGNOLIOPSIDA,식물,EN,3
Ingerophrynus gollum,AMPHIBIA,양서류,EN,3
Aloe elgonica,LILIOPSIDA,식물,EN,3
Dioon purpusii,CYCADOPSIDA,식물,EN,3
Garrulax rufifrons,AVES,조류,EN,3
Eucalyptus gunnii,MAGNOLIOPSIDA,식물,EN,3
Lobelia subpubera,MAGNOLIOPSIDA,식물,EN,3
Aloe trachyticola,LILIOPSIDA,식물,EN,3
Emydoidea blandingii,REPTILIA,파충류,EN,3
Achyranthes mutica,MAGNOLIOPSIDA,식물,EN,3
Capoetobrama kuschakewitschi,ACTINOPTERYGII,어류,EN,3
Cuon alpinus,MAMMALIA,포유류,EN,3
Anthoceros neesii,ANTHOCEROTOPSIDA,식물,EN,3
Ochotona koslowi,MAMMALIA,포유류,EN,3
Nepenthes rajah,MAGNOLIOPSIDA,식물,EN,3
